exact_date,CO2_concentration,t,month
1998-03-17,20.47120695339953,40.208333333333336,3
1998-04-17,21.703355743328018,40.291666666666664,4
1998-05-17,22.325504533256492,40.375,5
1998-06-17,21.837653323184952,40.458333333333336,6
1998-07-17,20.52980211311342,40.541666666666664,7
1998-08-17,18.601950903041825,40.625,8
1998-09-17,16.654099692970306,40.708333333333336,9
1998-10-17,16.916248482898823,40.791666666666664,10
1998-11-17,18.07839727282726,40.875,11
1998-12-17,19.520546062755727,40.958333333333336,12
1999-01-17,20.632694852684153,41.041666666666664,1
1999-02-17,21.284843642612657,41.125,2
1999-03-17,21.936992432541103,41.208333333333336,3
1999-04-17,23.419141222469534,41.291666666666664,4
1999-05-17,23.211290012398024,41.375,5
1999-06-17,22.493438802326523,41.458333333333336,6
1999-07-17,21.345587592254958,41.541666666666664,7
1999-08-17,18.93773638218346,41.625,8
1999-09-17,16.579885172111858,41.708333333333336,9
1999-10-17,17.002033962040343,41.791666666666664,10
1999-11-17,18.48418275196883,41.875,11
1999-12-17,19.7363315418973,41.958333333333336,12
2000-01-17,20.808480331825763,42.041666666666664,1
2000-02-17,21.060629121754175,42.125,2
2000-03-17,22.042777911682663,42.208333333333336,3
2000-04-17,23.124926701611173,42.291666666666664,4
2000-05-17,23.22707549153961,42.375,5
2000-06-17,23.01922428146804,42.458333333333336,6
2000-07-17,21.381373071396524,42.541666666666664,7
2000-08-17,19.313521861325,42.625,8
2000-09-17,17.745670651253477,42.708333333333336,9
2000-10-17,17.787819441181966,42.791666666666664,10
2000-11-17,19.279968231110388,42.875,11
2000-12-17,20.452117021038816,42.958333333333336,12
2001-01-17,21.134265810967293,43.041666666666664,1
2001-02-17,22.286414600895796,43.125,2
2001-03-17,22.83856339082422,43.208333333333336,3
2001-04-17,23.510712180752705,43.291666666666664,4
2001-05-17,24.60286097068115,43.375,5
2001-06-17,23.825009760609646,43.458333333333336,6
2001-07-17,22.067158550538124,43.541666666666664,7
2001-08-17,19.92930734046655,43.625,8
2001-09-17,18.271456130394995,43.708333333333336,9
2001-10-17,18.333604920323467,43.791666666666664,10
2001-11-17,19.855753710251975,43.875,11
2001-12-17,21.347902500180453,43.958333333333336,12
2002-01-17,22.48005129010886,44.041666666666664,1
2002-02-17,23.052200080037323,44.125,2
2002-03-17,23.424348869965797,44.208333333333336,3
2002-04-17,24.686497659894314,44.291666666666664,4
2002-05-17,25.318646449822722,44.375,5
2002-06-17,25.100795239751164,44.458333333333336,6
2002-07-17,23.652944029679645,44.541666666666664,7
2002-08-17,21.045092819608158,44.625,8
2002-09-17,20.197241609536547,44.708333333333336,9
2002-10-17,19.679390399465035,44.791666666666664,10
2002-11-17,21.441539189393495,44.875,11
2002-12-17,23.07368797932196,44.958333333333336,12
2003-01-17,23.90583676925047,45.041666666666664,1
2003-02-17,24.777985559178887,45.125,2
2003-03-17,25.200134349107373,45.208333333333336,3
2003-04-17,26.672283139035812,45.291666666666664,4
2003-05-17,27.304431928964334,45.375,5
2003-06-17,27.016580718892783,45.458333333333336,6
2003-07-17,25.41872950882123,45.541666666666664,7
2003-08-17,23.2308782987497,45.625,8
2003-09-17,21.663027088678177,45.708333333333336,9
2003-10-17,21.615175878606635,45.791666666666664,10
2003-11-17,22.897324668535077,45.875,11
2003-12-17,24.16947345846353,45.958333333333336,12
2004-01-17,25.201622248392027,46.041666666666664,1
2004-02-17,25.713771038320488,46.125,2
2004-03-17,26.665919828248946,46.208333333333336,3
2004-04-17,28.708068618177435,46.291666666666664,4
2004-05-17,28.76021740810586,46.375,5
2004-06-17,27.622366198034342,46.458333333333336,6
2004-07-17,25.764514987962798,46.541666666666664,7
2004-08-17,23.76666377789121,46.625,8
